full_word,sentence_word_index,total_word_index
Julien,17,10624
Mme de Rênal,3,10637
Mme de Rênal,20,10710
Julien,29,10719
Julien,6,10845
Julien,0,11044
Julien,3,11183
Julien,5,11240
Julien,21,11327
Julien,3,11417
M. de Rênal,4,11435
M. de Rênal,8,11605
Mettez,0,11629
Durand,0,11652
M. de Rênal,6,11664
Julien,8,11695
M. de Rênal,32,11914
M. de Rênal,38,12006
Verrières,28,11996
Julien,10,12020
Julien,2,12071
Enfin Julien,0,12100
M. de Rênal,13,12138
M. de Rênal lui,13,12138
Christ,9,12205
Julien,18,12248
Adolphe,0,12230
--Ouvrez,11,12241
Adolphe,0,12282
Julien,10,12292
M. de Rênal,0,12308
Julien,9,12341
Julien,0,12455
M. de Rênal,0,12487
Julien,2,12528
Julien,8,12538
Xavier,2,12559
Stanislas,0,12557
Julien,19,12587
M. de Rênal,8,12601
Julien,13,12606
Valenod,0,12611
Charcot de Maugiron,0,12622
Julien,4,12636
M. de Rênal,6,12659
Julien,0,12667
M. de Rênal,16,12767
Julien,0,12751
Louis,6,12946
M. de Rênal,5,12956
Valenod,0,12951
Julien,9,12960
Julien,17,13219
Julien,7,13340
Élisa,3,13336
Julien,0,13377
Valenod,0,13404
Julien,9,13432
Mme de Rênal,0,13434
Mlle Élisa,12,13446
Julien,6,13548
Julien,19,13651
Mais,0,13811
Julien,3,14025
Dieu,28,14065
Mme Derville,14,14229
Julien,7,14338
Julien,6,14512
Julien,12,14787
Julien,7,14807
M. de Rênal,16,14990
M. de Rênal,37,15040
Mme de Rênal,0,15003
Mme de Rênal,7,15065
Julien,16,15110
Mme de Rênal,2,15096
M. de Rênal,3,15268
Besenval,2,15351
Elle,10,15464
Julien,3,15457
Julien,24,15590
Mme de Rênal,0,15566
Julien,8,15637
Julien,18,15685
M. de Rênal,15,15776
M. de Rênal,0,15863
Julien,1,16043
M. de Rênal,30,16241
Valenod,0,16369
Bonaparte,25,16482
Mme de Rênal,4,16518
Julien,0,16548
Mme de Rênal,6,16562
Mme de Rênal,10,16781
Julien,27,16943
Chélan,10,17052
Valenod,0,17067
Élisa,30,17235
Mme de Rênal,3,17208
Julien,18,17255
Chélan,11,17248
Allez,0,17503
Julien,0,17590
Julien,4,17740
Chélan,0,17945
Julien,8,17955
Julien,31,18107
Julien,0,18149
Élisa,2,18220
Mme de Rênal,7,18294
Julien,0,18310
Julien,0,18360
Julien,8,18407
Elle,0,18399
Julien,0,18447
Julien,3,18489
Julien,6,18565
Mme de Rênal,0,18623
Julien,17,18760
M. de Rênal,30,18797
Mme de Rênal,26,18832
M. de Rênal,18,18882
M. de Rênal,14,18914
M. de Rênal,7,18994
Vergy M. de Rênal,6,19060
Mme de Rênal,23,19077
Julien,9,19156
de Rênal,1,19148
Elle,0,19238
Julien,5,19284
Godart,0,19303
Julien,3,19306
Julien,17,19333
Mme de Rênal,14,19557
Elle,0,19627
Mme Derville,11,19649
Derville,1,19665
Mme Derville,0,19664
Mme de Rênal,10,19700
Mme Derville,31,19721
Mme Derville,6,19775
Mme Derville,5,20026
Mozart,3,20024
Julien,20,20049
Julien,8,20314
Julien,7,20464
Mme Derville,3,20460
Julien,15,20567
Julien,11,20635
Julien,7,20683
Julien,18,20812
Mme de Rênal,10,20804
Julien,14,20921
Julien,0,20989
Julien,0,21119
Julien,13,21177
Mme Derville,3,21167
Mme Derville,4,21287
de Rênal,12,21321
Mme Derville,17,21395
Julien,9,21421
Charles le Téméraire,16,21450
Julien,6,21621
Julien,41,21815
M. de Rênal,20,21794
Julien,25,21943
M. de Rênal,9,22030
Julien,29,22050
Julien,12,22076
Mme Derville,17,22186
Heureusement M. de Rênal,0,22169
M. de Rênal,3,22198
Julien,0,22249
Mme Derville,3,22267
Julien,5,22398
Heureusement M. de Rênal,0,22405
Julien,0,22432
M. de Rênal,2,22457
Mme de Rênal,15,22753
Mais,0,22923
Julien,5,23008
Julien,14,23098
Julien,11,23489
Julien,3,23500
Mme de Rênal,4,23516
Julien,10,23620
Don Juan,36,23690
M. de Rênal,0,23701
Julien,7,23732
M. de Rênal,0,23755
M. de Rênal,12,23799
Julien,7,23794
M. de Rênal,0,23819
M. de Rênal,35,23891
La colère de Julien,0,23856
M. de Rênal,44,23944
Julien,6,23954
Julien,3,23967
Julien,0,24058
Julien,0,24118
M. de Rênal,8,24141
Julien,0,24133
M. de Rênal,12,24200
Julien,4,24192
M. de Rênal,21,24233
M. de Rênal,5,24276
Valenod,13,24284
Julien,0,24304
Chélan,0,24331
M. de Rênal,12,24423
Julien,30,24466
Julien,0,24540
M. de Rênal,5,24684
Julien,0,24772
Napoléon,4,24881
Julia,6,24897
Julien,10,24979
Mme Derville,5,25071
Tel,0,25094
Julien,9,25142
M. de Rênal,19,25236
Julien,0,25217
Julien,0,25242
M. de Rênal,0,25356
Derville,1,25386
Julien,0,25389
Julien,10,25664
M. de Rênal,0,25654
Lui,0,25671
Julien,9,25688
Julien,7,25736
Julien,19,25803
Julien,0,25919
Julien,7,26122
Élisa,17,26238
Mme de Rênal,0,26282
Julien,5,26396
Julien,17,26448
Mme de Rênal,11,26442
Julien,4,26464
Julien,0,26595
Julien,24,26667
Julien,12,26690
Mme de Rênal,20,27039
Julien,0,27112
Mme de Rênal,4,27123
M. de Rênal,5,27208
Derville,10,27213
Valenod,0,27264
Mme Derville,22,27403
de Rênal,0,27430
Julien,0,27652
Mais,0,28082
Julien,7,28115
M. de Rênal,39,28193
M. de Rênal,29,28233
Fouqué,22,28226
Chélan,10,28248
Valenod,0,28238
Maugiron,6,28244
Julien,6,28424
Julien,12,28483
Fouqué,0,28471
Solitaire,0,28554
Mais Fouqué,0,28580
Fouqué,1,28581
Julien,7,28637
Julien,5,28682
Julien,7,28949
Rien,0,28942
Fouqué,9,28951
Julien,8,28968
Fouqué,8,29374
Julien,5,29388
Julien,15,29569
Mme Derville,7,29592
Julien,5,29610
Julien,0,29656
Julien,15,29828
Julien,0,29975
Julien,17,30052
Mme de Rênal,0,30035
Elle,0,30072
Mme de Rênal,18,30155
Julien,18,30312
Julien,4,30350
Julien,17,30381
Mme Derville,25,30529
Julien,8,30711
Mme Derville,19,30722
Mme de Rênal,28,30731
Julien,20,30758
Julien,0,30925
Mme de Rênal,9,30955
de Rênal,1,31037
M. de Rênal,11,31145
Julien,5,31174
Fouqué,6,31228
Fouqué,4,31354
Julien,23,31416
Mme de Rênal,6,31399
Julien,11,31456
Julien,0,31554
Julien,5,31704
Charcot de Maugiron,0,31835
Elle,0,31846
Derville,1,31858
Julien,21,31985
Derville,11,32036
Julien,9,32078
de Rênal,1,32070
Julien,0,32087
Elle,7,32126
Mme Derville,11,32189
M. de Rênal,3,32282
A Verrières,0,32305
Julien,3,32308
Maslon,13,32324
Chélan,0,32311
Si Julien,3,32470
Julien,4,32471
Mme de Rênal,24,32531
Julien,17,32694
Julien,10,32738
Mme Derville,26,32754
Julien,6,32781
Mme de Rênal,27,32898
Mme Derville,16,32887
Julien,8,32910
Mme de Rênal,25,32940
Pierre,11,33004
Mme Derville,9,33075
Julien,0,33092
M. de Rênal,7,33150
Mme de Rênal,25,33241
Julien,0,33314
Julien,5,33379
Mais,0,33442
Julien,8,33542
Julien,5,33597
Julien,6,33617
Julien,12,33634
Julien,19,33679
Julien,3,33719
Mon Dieu,0,33741
Julien,6,33762
Julien,9,33821
Don Juan,28,33902
Julien,0,34026
Mme de Rênal,26,34067
Julien,0,34121
Julien,15,34201
Mme de Rênal,3,34252
Mme Derville,18,34298
Mme de Rênal,23,34303
Julien,9,34354
Derville,7,34396
Julien,23,34412
Mme de Rênal,19,34408
Julien,4,34465
Mais,0,34504
Mais Julien,0,34582
Julien,0,34720
Julien,6,34770
Elle,0,34847
Julien,5,34910
Julien,29,35013
Mme de Rênal,11,34995
Julien,10,35068
Julien,24,35082
Julien,6,35201
Mme Derville,2,35506
de Rênal,0,35683
Julien,0,36016
Julien,22,36157
M. de Rênal,34,36248
Moi,18,36232
Valenod,0,36258
Julien,0,36432
Julien,0,36492
Julien,0,36625
M. de Moirod,5,36747
Verrières,29,36771
M. de Rênal,19,36811
Julien,0,36792
M. de Moirod,9,36963
Julien,7,37046
Valenod,0,37221
Jean,20,37241
M. de Maugiron,15,37266
Julien,8,37301
Julien,28,37374
M. de Rênal,0,37693
Chacun,0,37708
M. de Moirod,20,37751
M. de Rênal,0,37731
M. de Moirod,10,37779
M. de Moirod,10,37938
Julien,10,38001
Julien,0,38070
Julien,12,38174
Julien,28,38348
Valenod,0,38320
Julien,16,38449
Maslon,0,38538
Chélan,0,38553
M. de Rênal,2,38557
Chélan,6,38605
Maslon,13,38664
M. de Rênal,17,38689
M. de La Mole,32,38704
Julien,8,38844
Chélan,0,38836
M. de Moirod,7,38998
Valenod,0,39084
Sorel,4,39088
Julien,9,39238
M. de Moirod,26,39537
Clément,18,39616
M. de Rênal,17,39635
Julien,11,39629
Julien,0,39744
M. de La Mole,4,39781
Chélan,0,39903
Julien,10,39913
Julien,0,39923
Julien,3,40046
Julien,19,40257
Julien,0,40555
Julien,9,40568
Julien,4,40585
Julien,18,40643
Chélan,0,40625
Julien,1,40760
Julien,10,40794
Julien,10,40843
Julien,0,40902
Julien,14,40923
Julien,0,40967
Julien,4,41111
Allez,0,41135
Chélan,0,41150
Julien,20,41170
Chélan,14,41276
Julien,0,41262
Julien,0,41311
M. de Rênal,9,41353
Julien,13,41376
On,0,41386
Julien,9,41469
Napoléon,16,41476
Julien,12,41541
Chélan,0,41529
Julien,0,41590
Charles le Téméraire,13,41665
Julien,0,41652
Julien,8,41677
M. de La Mole,0,41689
Julien,8,41791
Chélan,0,41798
Sixtine,16,41814
Julien,0,41861
Julien,25,41939
M. de La Mole,8,41956
Clément,3,42017
Julien,9,42053
Julien,17,42103
Chélan,15,42101
Mais,0,42086
Julien,0,42311
Julien,22,42361
M. de La Mole,8,42371
Clément,30,42443
Julien,5,42418
Julien,24,42530
Julien,9,42515
Clément,20,42646
M. de Moirod,10,42885
M. de La Mole,12,42924
Julien,17,42929
De Moirod,5,43179
Julien,17,43226
Julien Sorel,35,43320
Sorel,14,43384
Mme de Rênal,24,43414
Vergy,5,43395
Dieu,11,43489
Julien,0,43522
Julien,3,43546
Stanislas,11,43554
Julien,2,43623
Julien,0,43792
M. de Rênal,7,43892
Julien,14,43930
M. de Rênal,7,43949
M. de Rênal,1,44047
Si M. de Rênal,0,44046
Julien,6,44085
Julien,0,44126
M. de Rênal,4,44178
Dieu,7,44768
Stanislas,3,45207
Julien,7,45408
Julien,0,45658
Julien,38,45755
Julien,0,45830
Julien,0,45952
Julien,0,46008
Élisa,1,46015
Julien,4,46033
Valenod,0,46029
Valenod,0,46100
Mme de Rênal,15,46194
Julien,2,46478
Julien,0,46521
Valenod,0,47326
Julien,17,47953
Oui,0,48001
Julien,13,48129
Julien,0,48312
M. de Rênal,11,48338
Falcoz,2,48848
Falcoz,3,48901
M. de Rênal,9,48962
M. de Rênal,15,49032
Charmier de Bernard,9,49301
Ah,0,49292
Charmier,2,49294
Rênal,21,49580
Julien,7,49659
M. de Rênal,3,49954
Julien,8,50296
Elle,0,50288
Lui,0,50381
Julien,0,50554
Julien,13,50613
Julien,6,50701
M. de Rênal,10,50725
M. de Rênal,12,50765
M. de Rênal,19,50945
Julien,28,51091
Julien,24,51135
Élisa,15,51388
M. de Rênal,22,51494
M. de Rênal,44,51685
Julien,16,51961
M. de Rênal,4,52190
M. de Rênal,5,52294
M. de Rênal,13,52384
Parler,0,52562
Valenod,0,52630
Mme de Rênal,0,52728
M. de Rênal,14,52822
Julien,2,52899
Élisa,5,52902
Valenod,0,52897
Mme de Rênal,8,53148
M. de Rênal,32,53302
M. de Rênal,27,53347
Mme de Rênal,0,53403
Julien,5,53437
M. de Rênal,5,53545
Julien,7,53688
Mme de Rênal,13,53694
Chélan,0,53778
M. de Rênal,0,53918
Julien,6,53924
Julien,7,53945
Maugiron,25,53963
Julien,0,54014
M. de Rênal,18,54099
M. de Maugiron,1,54082
Julien,0,54147
M. de Maugiron,23,54172
dit M. de Maugiron,22,54171
Julien,4,54188
M. de Rênal,10,54238
Julien,0,54279
M. de Maugiron,2,54327
Julien,7,54332
M. de Rênal,15,54356
Valenod,0,54399
Julien,4,54417
Chélan,0,54452
Julien,0,54652
Valenod,0,54695
Julien,16,54863
Valenod,7,54885
Valenod,5,54918
Julien,0,54966
Mais Julien,0,55039
Valenod,0,55233
Julien,0,55293
Julien,6,55338
Julien,0,55628
Julien,4,55738
Julien,0,55775
M. de Rênal,8,55904
Julien,6,55920
Mais Julien,0,55983
Chélan,0,56017
Julien,0,56057
Julien,0,56190
Julien,12,56256
M. de Rênal,39,56334
Julien,5,56498
M. de Rênal,24,56609
Maslon,0,56624
Gros,22,56751
Julien,8,56737
Mme de Rênal,9,56906
Julien,0,56926
Julien,11,57159
Julien,0,57236
Julien,0,57251
Julien,26,57390
M. de Rênal,8,57400
Stanislas,24,57460
Julien,0,57436
M. de Rênal,1,57475
D'abord M. de Rênal,0,57474
Julien,10,57661
M. de Rênal,0,57721
Julien,20,57763
Julien,14,57798
M. de Rênal,5,57826
M. de Rênal,8,58049
Maslon,17,58070
Mais,0,58078
Valenod,0,58087
Frilair,16,58220
Julien,10,58256
M. de Rênal,9,58280
Valenod,0,58271
Julien,18,58350
Valenod,0,58332
Valenod,0,58445
Julien,17,58591
M. de Rênal,32,58742
M. de Rênal,32,58929
Julien,16,59034
Mme de Rênal,15,59058
Elle,0,59068
Julien,18,59245
François Ier,11,59258
Mme de Rênal,27,59274
M. de Rênal,0,59314
Julien,4,59367
Maslon,0,59573
Julien,2,59606
Julien,10,59659
Et Julien,0,59705
Julien,1,59706
Maslon,0,59741
Julien,16,59793
M. de Rênal,4,60154
M. de Rênal,0,60172
Julien,5,60177
_ Geronimo,29,60358
_ Geronimo,35,60396
_ de Beauvaisis,3,60412
_ Geronimo,3,60495
Signorino,31,60573
M. de Rênal,4,60627
_ Zingarelli,3,60639
_ Zingarelli,27,60663
Zingarelli,28,60664
Zingarelli,12,60916
Geronimo,31,61159
_ Giovannone,7,61135
Giovannone,8,61136
Julien,8,61421
Geronimo,5,61428
Geronimo,7,61474
M. de Rênal,16,61523
Julien,3,61510
Élisa,17,61635
Julien,8,61701
Julien,31,61809
Elle,0,61851
Julien,5,61879
Mme de Rênal,7,61970
M. de Rênal,18,62055
Fouqué,13,62262
Julien,0,62294
Chélan,0,62311
Chélan,0,62345
Julien,10,62372
Julien,8,62470
de Rênal,1,62463
Elle,0,62506
Julien,0,62659
Donne,0,62785
Julien,0,62820
M. de Rênal,0,62964
Élisa,5,63132
Valenod,0,63127
Julien,5,63162
Julien,26,63204
M. de Rênal,0,63178
Julien,3,63229
M. de Rênal,8,63249
Julien,13,63254
M. de Rênal,0,63282
M. de Rênal,28,63376
Louis XIV mourant,4,63352
Louis XIV,4,63352
Bientôt,0,63430
Valenod,0,63567
M. de Rênal,0,63587
Julien,4,63711
Julien,14,63762
de Rênal,1,63800
Julien,22,63839
--Voulez,16,63833
Elle,0,63817
Julien,1,63850
M. de Rênal,0,63854
Julien,22,63876
M. de Rênal,0,63882
Julien,20,64014
Elle,0,64016
